Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
1,,Transporter-1,0,LEO,SpaceX,"Success
",F9 v1.07B0003.18,Failure,4 June 2010,18:45
2,,Dragon Spacecraft Qualification Unit,0,LEO,NASA,Success,F9 v1.07B0004.18,Failure,8 December 2010,15:43
3,,Dragon Spacecraft Qualification Unit,525 kg,LEO,NASA,Success,F9 v1.07B0005.18,"No attempt
",22 May 2012,07:44
4,,Dragon,"4,700 kg",LEO,NASA,"Success
",F9 v1.07B0006.18,No attempt,8 October 2012,00:35
5,,Dragon,"4,877 kg",LEO,NASA,"Success
",F9 v1.07B0007.18,"No attempt
",1 March 2013,15:10
6,,Dragon,500 kg,Polar orbit,MDA,Success,F9 v1.17B10038,Uncontrolled,29 September 2013,16:00
7,,Dragon,"3,170 kg",GTO,SES,Success,F9 v1.1,No attempt,3 December 2013,22:41
8,,SpaceX CRS-1,"3,325 kg",GTO,Thaicom,Success,F9 v1.1,No attempt,6 January 2014,22:06
9,,SpaceX CRS-1,"2,296 kg",LEO,NASA,"Success
",F9 v1.1,Controlled,18 April 2014,19:25
10,,SpaceX CRS-2,"1,316 kg",LEO,Orbcomm,Success,F9 v1.1,Controlled,14 July 2014,15:15
11,,SpaceX CRS-2,"4,535 kg",GTO,AsiaSat,Success,F9 v1.1,No attempt,5 August 2014,08:00
12,,CASSIOPE,"4,428 kg",GTO,AsiaSat,Success,F9 v1.1[,"No attempt
",7 September 2014,05:00
13,,CASSIOPE,"2,216 kg",LEO,NASA,Success,F9 v1.1[,Uncontrolled,21 September 2014,05:52
14,,SES-8,"2,395 kg",LEO,NASA,Success,F9 v1.1[,Failure ,10 January 2015,09:47
15,,SES-8,570 kg,HEO,USAF,"Success
",F9 v1.1[,Controlled,11 February 2015,23:03
16,,Thaicom 6,"4,159 kg",GTO,ABS,"Success
",F9 v1.1[,No attempt,2 March 2015,03:50
17,,Thaicom 6,"1,898 kg",LEO,NASA,"Success
",F9 v1.1[,Failure,14 April 2015,20:10
18,,SpaceX CRS-3,"4,707 kg",GTO,,"Success
",F9 v1.1[,No attempt,27 April 2015,23:03
19,,SpaceX CRS-3,"1,952 kg",LEO,NASA,Failure,F9 v1.1[,Precluded,28 June 2015,14:21
20,,Orbcomm-OG2,"2,034 kg",LEO,Orbcomm,"Success
",F9 FT[,Success,22 December 2015,01:29
21,,Orbcomm-OG2,553 kg,LEO,NASA,"Success
",F9 v1.1[,Failure,17 January 2016,18:42
22,,AsiaSat 8,"5,271 kg",GTO,SES,"Success
",F9 FT[,Failure,4 March 2016,23:35
23,,AsiaSat 8,"3,136 kg",LEO,NASA,Success,F9 FT[,Success,8 April 2016,20:43
24,,AsiaSat 6,"4,696 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,6 May 2016,05:21
25,,AsiaSat 6,"3,100 kg",GTO,Thaicom,"Success
",F9 FT[,Success,27 May 2016,21:39
26,,SpaceX CRS-4,"3,600 kg",GTO,ABS,"Success
",F9 FT[,Failure,15 June 2016,14:29
27,,SpaceX CRS-4,"2,257 kg",LEO,NASA,"Success
",F9 FT[,Success,18 July 2016,04:45
28,,SpaceX CRS-5,"4,600 kg",GTO,SKY Perfect JSAT Group,"Success
",F9 FT[,Success,14 August 2016,05:26
29,,SpaceX CRS-5,"9,600 kg",Polar,Iridium Communications,"Success
",F9 FT[,Success,14 January 2017,17:54
30,,DSCOVR,"2,490 kg",LEO,NASA,"Success
",F9 FT[,Success,19 February 2017,14:39
31,,DSCOVR,"5,600 kg",GTO,EchoStar,"Success
",F9 FT[,No attempt,16 March 2017,06:00
32,,ABS-3A,"5,300 kg",GTO,SES,Success,F9 FT♺[,Success,30 March 2017,22:27
33,,ABS-3A,C,LEO,NRO,"Success
",F9 FT[,Success,1 May 2017,11:15
34,,SpaceX CRS-6,"6,070 kg",GTO,Inmarsat,"Success
",F9 FT[,No attempt,15 May 2017,23:21
35,,SpaceX CRS-6,"2,708 kg",LEO,NASA,"Success
",F9 FT[,Success,3 June 2017,21:07
36,,TürkmenÄlem 52°E / MonacoSAT,"3,669 kg",GTO,Bulsatcom,"Success
",F9 FTB1029.2195,Success,23 June 2017,19:10
37,,TürkmenÄlem 52°E / MonacoSAT,"9,600 kg",LEO,Iridium Communications,"Success
",F9 FT[,Success,25 June 2017,20:25
38,,SpaceX CRS-7,"6,761 kg",GTO,Intelsat,"Success
",F9 FT[,No attempt,5 July 2017,23:38
39,,SpaceX CRS-7,"3,310 kg",LEO,NASA,"Success
",F9 B4[,Success,14 August 2017,16:31
40,,Orbcomm-OG2,475 kg,SSO,NSPO,"Success
",F9 FT[,Success,24 August 2017,18:51
41,,Orbcomm-OG2,"4,990 kg",LEO,USAF,"Success
",F9 B4[,Success,7 September 2017,14:00
42,,Jason-3,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B4[,Success,9 October 2017,12:37
43,,Jason-3,"5,200 kg",GTO,SES S.A.,"Success
",F9 FTB1031.2220,Success,11 October 2017,22:53:00
44,,SES-9,"3,500 kg",GTO,KT Corporation,"Success
",F9 B4[,Success,30 October 2017,19:34
45,,SES-9,"2,205 kg",LEO,NASA,"Success
",F9 FTB1035.2227,Success,15 December 2017,15:36
46,,SpaceX CRS-8,"9,600 kg",Polar,Iridium Communications,Success,F9 FTB1036.2227,Controlled,23 December 2017,01:27
47,,SpaceX CRS-8,C,LEO,Northrop Grumman,Success,F9 B4[,Success,8 January 2018,01:00
48,,JCSAT-14,"4,230 kg",GTO,SES,Success,F9 FTB1032.2245,Controlled,31 January 2018,21:25
49,,JCSAT-14,"2,150 kg",SSO,Hisdesat,Success,F9 FTB1038.2268,No attempt,22 February 2018,14:17
50,,Thaicom 8,"6,092 kg",GTO,Hispasat,Success,F9 B4[,No attempt,6 March 2018,05:33
51,,Thaicom 8,"9,600 kg",Polar,Iridium Communications,Success,F9 B4B1041.2268,No attempt,30 March 2018,14:14
52,,ABS-2A,"2,647 kg",LEO,NASA,Success,F9 B4B1039.2292,No attempt,2 April 2018,20:30
53,,ABS-2A,362 kg,HEO,NASA,Success,F9 B4[,Success,18 April 2018,22:51
54,,SpaceX CRS-9,"3,600 kg",GTO,Thales-Alenia,Success,F9 B5311B1046.1268,Success,11 May 2018,20:14
55,,SpaceX CRS-9,"6,460 kg",Polar,Iridium Communications,Success,F9 B4B1043.2322,No attempt,22 May 2018,19:47
56,,JCSAT-16,"5,384 kg",GTO,SES,Success,F9 B4B1040.2268,No attempt,4 June 2018,04:45
57,,JCSAT-16,"2,697 kg",LEO,NASA,Success,F9 B4B1045.2336,No attempt,29 June 2018,09:42
58,,Iridium NEXT,"7,075 kg",GTO,Telesat,Success,F9 B5,Success,22 July 2018,05:50
59,,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,F9 B5349B1048[,Success,25 July 2018,11:39
60,,SpaceX CRS-10,"5,800 kg",GTO,Telkom Indonesia,Success,F9 B5B1046.2354,Success,7 August 2018,05:18
61,,SpaceX CRS-10,"7,060 kg",GTO,Telesat,Success,F9 B5[,Success,10 September 2018,04:45
62,,EchoStar 23,"3,000 kg",SSO,CONAE,Success,F9 B5B1048.2364,Success,8 October 2018,02:22
63,,EchoStar 23,"5,300 kg",GTO,Es'hailSat,Success,F9 B5B1047.2268,Success,15 November 2018,20:46
64,,SES-10,"~4,000 kg",SSO,Spaceflight Industries,Success,F9 B5B1046.3268,Success,3 December 2018,18:34:05
65,,SES-10,"2,500 kg",LEO,NASA,"Success
",F9 B5[,Failure,5 December 2018,18:16
66,,NROL-76,"4,400 kg",MEO,USAF,Success,F9 B5[,No attempt,23 December 2018,13:51
67,,NROL-76,"9,600 kg",Polar,Iridium Communications,"Success
",F9 B5B1049.2397,Success,11 January 2019,15:31
68,,Inmarsat-5 F4,"4,850 kg",GTO,PSN,"Success
",F9 B5B1048.3399,Success,22 February 2019,01:45
69,,Inmarsat-5 F4,"12,055 kg",LEO,NASA,"Success
",F9 B5[]413,Success,2 March 2019,07:49
70,,SpaceX CRS-11,"2,495 kg",LEO,NASA,"Success
",F9 B5[,Success,4 May 2019,06:48
71,,SpaceX CRS-11,"13,620 kg",LEO,SpaceX,"Success
",F9 B5B1049.3434,Success,24 May 2019,02:30
72,,BulgariaSat-1,"4,200 kg",SSO,Canadian Space Agency,"Success
",F9 B5B1051.2420,Success,12 June 2019,14:17
73,,BulgariaSat-1,"2,268 kg",LEO,NASA,"Success
",F9 B5B1056.2465,Success,25 July 2019,22:01
74,,Iridium NEXT,"6,500 kg",GTO,Spacecom,"Success
",F9 B5B1047.3472,No attempt,6 August 2019,23:23
75,,Iridium NEXT,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,11 November 2019,14:56
76,,Intelsat 35e,"2,617 kg",LEO,NASA,"Success
",F9 B5[,Success,5 December 2019,17:29
77,,Intelsat 35e,"6,956 kg",GTO,Sky Perfect JSAT,"Success
",F9 B5B1056.3482,Success,17 December 2019,00:10
78,,SpaceX CRS-12,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 January 2020,02:19:21
79,,SpaceX CRS-12,"12,050 kg",Sub-orbital,NASA,"Success
",F9 B5,"No attempt
",19 January 2020,15:30
80,,Formosat-5,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,29 January 2020,14:07
81,,Formosat-5,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,17 February 2020,15:05
82,,Boeing X-37B,"1,977 kg",LEO,NASA,"Success
",F9 B5,Success,7 March 2020,04:50
83,,Boeing X-37B,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Failure,18 March 2020,12:16
84,,Iridium NEXT,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,22 April 2020,19:30
85,,Iridium NEXT,"12,530 kg",LEO,NASA,"Success
",F9 B5[,Success,30 May 2020,19:22
86,,SES-11,"15,600 kg",LEO,SpaceX,"Success
",F9 B5,Success,4 June 2020,01:25
87,,SES-11,"15,410 kg",LEO,SpaceX,"Success
",F9 B5,Success,13 June 2020,09:21
88,,Koreasat 5A,"4,311 kg",MEO,U.S. Space Force,"Success
",F9 B5,Success,30 June 2020,20:10:46
89,,Koreasat 5A,"5,000–6,000 kg",GTO,Republic of Korea Army,"Success
",F9 B5B1058.2544,Success,20 July 2020,21:30
90,,SpaceX CRS-13,"14,932 kg",LEO,SpaceX,"Success
",F9 B5,Success,7 August 2020,05:12
91,,SpaceX CRS-13,"~15,440 kg",LEO,SpaceX,"Success
",F9 B5B1049.6544,Success,18 August 2020,14:31
92,,Iridium NEXT,"3,130 kg",SSO,CONAE,"Success
",F9 B5,Success,30 August 2020,23:18
93,,Iridium NEXT,"15,600 kg",LEO,SpaceX,"Success
",F9 B5B1060.2563,Success,3 September 2020,12:46:14
